isolate,Tb927.1.3230_T,Tb927.1.3230_C,Tb927.1.3230_A,Tb927.1.3230_G,Tb927.10.13980_T,Tb927.10.13980_C,Tb927.10.13980_A,Tb927.10.13980_G,Tb927.10.15300_T,Tb927.10.15300_C,Tb927.10.15300_A,Tb927.10.15300_G,Tb927.10.1820_T,Tb927.10.1820_C,Tb927.10.1820_A,Tb927.10.1820_G,Tb927.10.2810_T,Tb927.10.2810_C,Tb927.10.2810_A,Tb927.10.2810_G,Tb927.10.4720_T,Tb927.10.4720_C,Tb927.10.4720_A,Tb927.10.4720_G,Tb927.11.1940_T,Tb927.11.1940_C,Tb927.11.1940_A,Tb927.11.1940_G,Tb927.11.3980_T,Tb927.11.3980_C,Tb927.11.3980_A,Tb927.11.3980_G,Tb927.3.4350_T,Tb927.3.4350_C,Tb927.3.4350_A,Tb927.3.4350_G,Tb927.4.980_T,Tb927.4.980_C,Tb927.4.980_A,Tb927.4.980_G,Tb927.5.1220_T,Tb927.5.1220_C,Tb927.5.1220_A,Tb927.5.1220_G,Tb927.6.1100_T,Tb927.6.1100_C,Tb927.6.1100_A,Tb927.6.1100_G,Tb927.6.2630_T,Tb927.6.2630_C,Tb927.6.2630_A,Tb927.6.2630_G,Tb927.6.3660_T,Tb927.6.3660_C,Tb927.6.3660_A,Tb927.6.3660_G,Tb927.6.5000_T,Tb927.6.5000_C,Tb927.6.5000_A,Tb927.6.5000_G,Tb927.7.6560_T,Tb927.7.6560_C,Tb927.7.6560_A,Tb927.7.6560_G,Tb927.8.3480_T,Tb927.8.3480_C,Tb927.8.3480_A,Tb927.8.3480_G,Tb927.8.3810_T,Tb927.8.3810_C,Tb927.8.3810_A,Tb927.8.3810_G,Tb927.9.10660_T,Tb927.9.10660_C,Tb927.9.10660_A,Tb927.9.10660_G
EATRO2340,0.22925,0.25363,0.21191,0.30520,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.22090,0.23483,0.25572,0.28856,0.23519,0.22500,0.24537,0.29444,0.23644,0.23355,0.27549,0.25452,0.23262,0.27290,0.24366,0.25081,0.23748,0.23014,0.24396,0.28843,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24430,0.21981,0.24930,0.28659,0.21181,0.25434,0.23958,0.29427,0.26476,0.21333,0.24762,0.27429
EATRO3,0.22925,0.25363,0.21191,0.30520,0.26437,0.22496,0.23645,0.27422,0.22908,0.23574,0.25804,0.27715,0.27904,0.20581,0.23864,0.27652,0.22090,0.23483,0.25572,0.28856,0.23491,0.22470,0.24605,0.29434,0.23644,0.23355,0.27549,0.25452,0.23262,0.27290,0.24366,0.25081,0.23748,0.23014,0.24396,0.28843,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24430,0.21981,0.24930,0.28659,0.21181,0.25434,0.23958,0.29427,0.26476,0.21333,0.24762,0.27429
FEO,0.22984,0.25408,0.21119,0.30490,0.26437,0.22496,0.23645,0.27422,0.22906,0.23570,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.22222,0.23512,0.25496,0.28770,0.23229,0.22380,0.24740,0.29651,0.23644,0.23355,0.27549,0.25452,0.23217,0.27237,0.24514,0.25032,0.23730,0.22997,0.24462,0.28811,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24367,0.22222,0.24862,0.28548,0.20823,0.25364,0.24165,0.29649,0.26590,0.21387,0.24470,0.27553
FEO-AnTat-16-1,0.22984,0.25408,0.21119,0.30490,0.26437,0.22496,0.23645,0.27422,0.22906,0.23570,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.22222,0.23512,0.25496,0.28770,0.23229,0.22380,0.24740,0.29651,0.23644,0.23355,0.27549,0.25452,0.23217,0.27237,0.24514,0.25032,0.23730,0.22997,0.24462,0.28811,0.25474,0.21861,0.19603,0.33062,0.25709,0.20390,0.28901,0.25000,0.22176,0.23493,0.25641,0.28690,0.25694,0.23611,0.22685,0.28009,0.20681,0.21411,0.28224,0.29684,0.24188,0.18974,0.27350,0.29487,0.21439,0.19090,0.29662,0.29809,0.24367,0.22222,0.24862,0.28548,0.20823,0.25364,0.24165,0.29649,0.26590,0.21387,0.24470,0.27553
GMOM-ZM-83-TRPZ-317,0.22852,0.25543,0.21199,0.30406,0.25980,0.23203,0.23529,0.27288,0.22887,0.23562,0.25851,0.27700,0.27928,0.20592,0.23810,0.27671,0.22391,0.23607,0.25431,0.28571,0.23485,0.22633,0.24716,0.29167,0.23665,0.23304,0.27561,0.25469,0.23172,0.27184,0.24725,0.24919,0.23760,0.22984,0.24407,0.28849,0.25501,0.22040,0.19672,0.32787,0.25448,0.20609,0.29032,0.24910,0.22268,0.23224,0.26025,0.28484,0.25629,0.23417,0.22883,0.28070,0.20466,0.21201,0.28309,0.30025,0.24017,0.18889,0.27350,0.29744,0.21471,0.19069,0.29429,0.30030,0.24887,0.22109,0.24093,0.28912,0.20994,0.25536,0.23907,0.29563,0.26511,0.21637,0.24951,0.26901
GPAP-CI-82-KP10-29,0.22958,0.25352,0.21174,0.30516,0.26442,0.22917,0.23558,0.27083,0.22899,0.23565,0.25855,0.27681,0.28117,0.20483,0.23919,0.27481,0.22123,0.23512,0.25694,0.28671,0.23529,0.22596,0.24370,0.29505,0.23789,0.23355,0.27404,0.25452,0.23107,0.27314,0.24466,0.25113,0.23760,0.22984,0.24450,0.28806,0.25269,0.21864,0.19892,0.32975,0.25766,0.20000,0.28829,0.25405,0.22154,0.23594,0.25652,0.28601,0.25943,0.23634,0.22556,0.27868,0.20803,0.21411,0.28224,0.29562,0.23956,0.19182,0.27280,0.29582,0.21333,0.19111,0.29481,0.30074,0.24257,0.22222,0.24807,0.28713,0.20940,0.25385,0.24103,0.29573,0.26550,0.21705,0.24612,0.27132
HAMBURG,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23717,0.23027,0.24493,0.28762,0.25337,0.21833,0.19946,0.32884,0.26025,0.20143,0.28877,0.24955,0.22222,0.23577,0.25542,0.28659,0.25723,0.23440,0.22679,0.28158,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
IVMt1,0.23016,0.25444,0.21102,0.30439,0.26699,0.22654,0.23786,0.26861,0.22868,0.23591,0.25788,0.27754,0.27757,0.20406,0.23954,0.27883,0.21992,0.23570,0.25740,0.28698,0.23426,0.22407,0.24537,0.29630,0.23758,0.23398,0.27358,0.25486,0.23107,0.27184,0.24725,0.24984,0.23773,0.22911,0.24462,0.28854,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22335,0.23422,0.25662,0.28581,0.25688,0.23471,0.22706,0.28135,0.20727,0.21455,0.28364,0.29455,0.24027,0.19036,0.27242,0.29695,0.21534,0.18879,0.29646,0.29941,0.24157,0.22278,0.24986,0.28579,0.20940,0.25385,0.24103,0.29573,0.26245,0.21456,0.25096,0.27203
Jua,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
Kazakstan,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23262,0.27225,0.24301,0.25211,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
Kenya,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
LIGO,0.22969,0.25444,0.21102,0.30486,0.26442,0.22917,0.23558,0.27083,0.22928,0.23478,0.25855,0.27739,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23519,0.22500,0.24444,0.29537,0.23758,0.23254,0.27430,0.25558,0.23127,0.27261,0.24419,0.25194,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22154,0.23654,0.25631,0.28562,0.25765,0.23471,0.22630,0.28135,0.20652,0.21498,0.28261,0.29589,0.24027,0.19036,0.27157,0.29780,0.21280,0.19048,0.29613,0.30060,0.24367,0.22222,0.24862,0.28548,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
LOGRA,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
LiTat-1-5-P9,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23717,0.22941,0.24493,0.28849,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
MBA,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
MBO-NG-74-R10,0.22923,0.25444,0.21195,0.30439,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25765,0.27759,0.27904,0.20581,0.23990,0.27525,0.22189,0.23373,0.25641,0.28797,0.23519,0.22407,0.24537,0.29537,0.23779,0.23348,0.27299,0.25575,0.23146,0.27208,0.24629,0.25016,0.23717,0.22941,0.24493,0.28849,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22222,0.23577,0.25542,0.28659,0.25917,0.23471,0.22630,0.27982,0.20803,0.21411,0.28345,0.29440,0.24003,0.18999,0.27396,0.29601,0.21439,0.18943,0.29809,0.29809,0.24367,0.22222,0.24752,0.28658,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MBOT-GM-77-GB2,0.22984,0.25408,0.21119,0.30490,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.28010,0.20532,0.23828,0.27630,0.22189,0.23483,0.25672,0.28657,0.23491,0.22470,0.24605,0.29434,0.23810,0.23232,0.27417,0.25541,0.23127,0.27196,0.24548,0.25129,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22267,0.23557,0.25594,0.28581,0.25994,0.23471,0.22630,0.27905,0.20652,0.21498,0.28261,0.29589,0.24065,0.18963,0.27126,0.29847,0.21429,0.18899,0.29762,0.29911,0.24367,0.22222,0.24862,0.28548,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-01,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-02,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-04,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-05,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-09,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAM-ET-2013-MU-14,0.23001,0.25339,0.21225,0.30435,0.26442,0.22756,0.23718,0.27083,0.22839,0.23591,0.25788,0.27783,0.27904,0.20581,0.23864,0.27652,0.21958,0.23640,0.25717,0.28684,0.23426,0.22407,0.24537,0.29630,0.23779,0.23348,0.27443,0.25431,0.23166,0.27156,0.24646,0.25032,0.23822,0.22914,0.24470,0.28794,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22109,0.23469,0.25646,0.28776,0.25994,0.23318,0.22630,0.28058,0.20652,0.21498,0.28261,0.29589,0.24065,0.19133,0.27211,0.29592,0.21439,0.19090,0.29662,0.29809,0.24212,0.22167,0.24931,0.28690,0.20940,0.25385,0.24103,0.29573,0.26782,0.21387,0.24470,0.27360
MCAM-ET-2013-MU-17,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23830,0.23398,0.27430,0.25342,0.23217,0.27302,0.24319,0.25162,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20727,0.21333,0.28364,0.29576,0.24027,0.19036,0.27157,0.29780,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
MCAP-CI-91-BALEA-2,0.23034,0.25375,0.21161,0.30431,0.26442,0.22917,0.23558,0.27083,0.22859,0.23582,0.25839,0.27720,0.28117,0.20483,0.23919,0.27481,0.22189,0.23483,0.25771,0.28557,0.23502,0.22659,0.24251,0.29588,0.23789,0.23355,0.27404,0.25452,0.23146,0.27273,0.24371,0.25210,0.23822,0.23000,0.24470,0.28707,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22290,0.23586,0.25562,0.28562,0.25816,0.23386,0.22627,0.28170,0.20727,0.21576,0.28121,0.29576,0.24065,0.19133,0.27211,0.29592,0.21439,0.19090,0.29662,0.29809,0.24323,0.22222,0.24876,0.28579,0.20940,0.25385,0.24103,0.29573,0.26357,0.21124,0.24806,0.27713
MHOM-SD-82-BIYAMINA,0.23102,0.25271,0.21358,0.30269,0.26437,0.22496,0.23645,0.27422,0.22928,0.23565,0.25826,0.27681,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23491,0.22470,0.24605,0.29434,0.23644,0.23355,0.27549,0.25452,0.23262,0.27290,0.24366,0.25081,0.23748,0.23014,0.24396,0.28843,0.25427,0.21833,0.19856,0.32884,0.25046,0.20074,0.29650,0.25230,0.22176,0.23493,0.25641,0.28690,0.25576,0.23502,0.22734,0.28187,0.20466,0.21569,0.28431,0.29534,0.24376,0.18863,0.27390,0.29371,0.21481,0.19259,0.29333,0.29926,0.24400,0.22222,0.24846,0.28532,0.21039,0.25368,0.24069,0.29524,0.26389,0.21429,0.24603,0.27579
MHOM-SD-82-MUSIKIA-cloneA,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22899,0.23594,0.25855,0.27652,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23172,0.27314,0.24466,0.25049,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
MHOM-ZM-80-TRPZ-23,0.22846,0.25421,0.21161,0.30571,0.26442,0.22756,0.23718,0.27083,0.22848,0.23628,0.25765,0.27759,0.27904,0.20581,0.23864,0.27652,0.21925,0.23413,0.25694,0.28968,0.23464,0.22346,0.24581,0.29609,0.23614,0.23470,0.27502,0.25414,0.23146,0.27208,0.24629,0.25016,0.23748,0.22971,0.24482,0.28800,0.25269,0.21953,0.19803,0.32975,0.25668,0.20499,0.28877,0.24955,0.22109,0.23537,0.25986,0.28367,0.25499,0.23502,0.22965,0.28034,0.20531,0.21618,0.28019,0.29831,0.24126,0.18841,0.27366,0.29668,0.21439,0.19090,0.29515,0.29956,0.24327,0.22186,0.24767,0.28720,0.20940,0.25470,0.23846,0.29744,0.26286,0.21524,0.24762,0.27429
